Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;Comments
TRAINS2-fs1;S;U;;hello can I help you;hello;;;;;;;;da1: opening;da2: initialGreeting;
TRAINS2-fs2;S;U;;;can I help you;;;;;;;;da3: offer;;
TRAINS2-fs3;U;S;;yes, I have a problem I need to transport two tankers of OJ to Avon and three boxcars of bananas to Elmira the bananas must arrive in Elmira by nine p.m.;yes;;;;;;;;da4: acceptOffer (Fu: da3);;
TRAINS2-fs4;U;S;;;I have a problem I need to transport two tankers of OJ to Avon and three boxcars of bananas to Elmira;da5: inform;;;;;;;;;
TRAINS2-fs5;U;S;;;the bananas must arrive in Elmira by nine p.m.;da6: inform {Expand: Expander da5};;;;;;;;;
TRAINS2-fs6;S;U;;okay;okay;;da7: autoPositive (Fe: da6);;;;;;;;
TRAINS2-fs7;U;S;;um I can only use engine two;um;;;;da8: turnTake;da9: stalling;;;;;
TRAINS2-fs8;U;S;;;I can only use engine two;da10: inform {Cause: Reason da5};;;;;;;;;
TRAINS2-fs9;S;U;;okay;okay;;da11: autoPositive (Fe: da10);;;;;;;;
TRAINS2-fs10;U;S;;so ... VOCnoise ... and I can only use engine two it's all the way over here and .. two tankers of OJ to Avon would mean I take engine two and take the two b(oxcars)- from Elmira and bring them over and pick up two and bring them back to Elmira to fill with OJ Avon .. VOCclick;so … VOC noise;;;;da12: turnTake;da13: stalling;;;;;
TRAINS2-fs11;U;S;;;and I can only use engine two it's all the way over here;da14: inform;;;;;;;;;
TRAINS2-fs12;U;S;;;and ..;;;;da15: turnKeep;da16: stalling;;;;;
TRAINS2-fs13;U;S;;;two tankers of OJ to Avon would mean I take engine two and take the two b(oxcars)- from Elmira and bring them over and pick up two and bring them back to Elmira to fill with OJ;da17: inform;;;;;;;;;
TRAINS2-fs14;U;S;;;Avon;;;;;;;;;;
TRAINS2-fs15;U;S;;;VOC click;;;;da18: turnKeep;;;;;;
TRAINS2-fs16;S;U;;mm-hm;mm-hm;;da19: autoPositive (Fe: da17);;;;;;;;
TRAINS2-fs17;U;S;;over .. VOCclick ..;over;;;;;;;;;;
TRAINS2-fs18;U;S;;;VOC click;;;;da20: turnKeep;;;;;;
TRAINS2-fs19;S;U;;okay do you wanna load the boxcars while you're in Corning;okay;;da21: autoPositive (Fe: da19);;da22: turnTake;;;;;;
TRAINS2-fs20;S;U;;;do you wanna load the boxcars while you're in Corning;da23: propositionalQuestion;;;;;;;;;
TRAINS2-fs21;U;S;;yes;yes;da24: answer (Fu: da23);;;;;;;;;
TRAINS2-fs22;S;U;;okay;okay;;da25: autoPositive (Fe: da24);;;;;;;;
TRAINS2-fs23;U;S;;and then make- then make the OJ in Elmira with engine two and take it from Elmira to Corning to Dansville to Avon;and;;;;da26: turnTake;;;;;;
;U;S;;;then make;;;;;;;;;;abandoned
TRAINS2-fs24;U;S;;;then make the OJ in Elmira with engine two and take it from Elmira to Corning to Dansville to Avon;da27: instruct;;;;;;;;;
TRAINS2-fs25;S;U;;okay do you wanna take the boxcars with you or do you want to leave them in Elmira;okay;;da28: autoPositive (Fe: da27);;;;;;;;
TRAINS2-fs26;S;U;;;do you wanna take the boxcars with you or do you want to leave them in Elmira;da29: choiceQuestion;;;da30: turnAssign;;;;;;
TRAINS2-fs27;U;S;;uh ... I will take them with me;uh …;;;;da31: turnAccept;da32: stalling;;;;;
TRAINS2-fs28;U;S;;;I will take them with me;da33: answer (Fu: da29);;;;;;;;;
TRAINS2-fs29;S;U;;okay so you wanna go from Elmira;okay;;da34: autoPositive (Fe: da33);;;;;;;;
TRAINS2-fs30;S;U;;;so you wanna go from Elmira;da35: checkQuestion;;;;;;;;;
TRAINS2-fs31;U;S;;to Avon;to Avon;;;;;;;da36: completion (Fe: da35);;;
TRAINS2-fs32;S;U;;okay by which way;okay;;da37: autoPositive (Fe: da36);;;;;;;;
TRAINS2-fs33;S;U;;;by which way;da38: setQuestion;;;;;;;;;
TRAINS2-fs34;U;S;;uh t(o)-  to Corning let me see let me think VOCmumble .. VOCclick … yeah to Corning to Dansville to Avon;uh;;;;da39: turnTake;da40: stalling;;;;;
TRAINS2-fs35;U;S;;;t(o)-;;;;;da41: stalling;;;;;
TRAINS2-fs36;U;S;;;to Corning;da42: answer (Fu: da38);;;;;;;;;
TRAINS2-fs37;U;S;;;let me see;;;;;da43: pausing;;;;;
TRAINS2-fs38;U;S;;;let me think;;;;;da44: pausing;;;;;
TRAINS2-fs39;U;S;;;VOC mumble .. VOC click ..;;;;;da45: stalling;;;;;
TRAINS2-fs40;U;S;;;yeah to Corning to Dansville to Avon;da46: answer (Fu: da38);;;;;;;;;
TRAINS2-fs41;S;U;;okay, okay then that way, it's now noon when you arrive in Avon;okay;;da47: autoPositive (Fe: da46);;da48: turnTake;;;;;;
TRAINS2-fs42;S;U;;;okay then that way;;da49: autoPositive (Fe: da46);;;;;;;;
TRAINS2-fs43;S;U;;;it's now noon when you arrive in Avon;da50: inform;;;;;;;;;
TRAINS2-fs44;U;S;;okay that's fine I guess I still have nine hours;okay that's fine;;da51: autoPositive (Fe: da50);;;;;;;;
TRAINS2-fs45;U;S;;;I guess I still have nine hours;da52: inform;;;;;;;;;
TRAINS2-fs46;S;U;;okay;okay;;da53: autoPositive (Fe: da52);;;;;;;;
TRAINS2-fs47;U;S;;um but I need oh oh wait I have something else to say I when I hit- when I reach when I reach Dansville I wanna pick up one more boxcar;um;;;;da54: turnTake;da55: stalling;;;;;
;U;S;;;but i need;;;;;;;;;;abandoned
TRAINS2-fs48;U;S;;;oh oh wait;;;;;;da56: pausing;;;;
TRAINS2-fs49;U;S;;;I have something else to say;;;;;;;;da57: inform;;
TRAINS2-fs50;U;S;;;I when I hit- when I reach;;;;;;da58: selfCorrection;;;;
TRAINS2-fs51;U;S;;;when I reach, when I reach;;;;;da59: stalling;;;;;
TRAINS2-fs52;U;S;;;when I reach Dansville I wanna pick up one more boxcar;da60: inform;;;;;;;;;
TRAINS2-fs53;S;U;;mm-hm;mm-hm;;da61: autoPositive (Fe: da60);;;;;;;;
TRAINS2-fs54;U;S;;f- .. uh;f- .. uh;;;;da62: turnTake;da63: stalling;;;;;
TRAINS2-fs55;S;U;;okay;okay;;da64: autoPositive (Fe: da60);;;;;;;;
TRAINS2-fs56;U;S;;and bring it with me with the other two to Avon;and;;;;da65: turnKeep;;;;;;
TRAINS2-fs57;U;S;;;bring it with me with the other two to Avon;da66: inform;;;;;;;;;
TRAINS2-fs58;S;U;;okay;okay;;da67: autoPositive (Fe: da66);;;;;;;;
TRAINS2-fs59;U;S;;then in Avon I want to load three box- drop off the one engine drop off the one tanker the two tankers of oranges and of OJ actually load those three;then;;;;da68: turnKeep;;;;;;
TRAINS2-fs60;U;S;;;in Avon I want to load three box- drop off the one engine drop off the two tankers of OJ;da69: inform;;;;;;;;;
TRAINS2-fs61;U;S;;;the one tanker the two tankers;da70: selfCorrection;;;;;;;;;
TRAINS2-fs62;U;S;;;of oranges and of OJ actually;da71: selfCorrection;;;;;;;;;
TRAINS2-fs63;U;S;;;load those three;da72: inform;;;;;;;;;
TRAINS2-fs64;S;U;;mm-hm;mm-hm;;da73: autoPositive (Fe: da72);;;;;;;;
TRAINS2-fs65;U;S;;the two tankers of … and fill up the three boxcars with bananas;the two tankers;da74: inform;;;;;da75: selfCorrection (Fe: da72);;;;
TRAINS2-fs66;U;S;;;of ..;;;;;da76: stalling;;;;;
TRAINS2-fs67;U;S;;;and;;;;da77: turnKeep;;;;;;
TRAINS2-fs68;U;S;;;fill up the three boxcars with bananas;da78: inform;;;;;;;;;
TRAINS2-fs69;S;U;;okay;okay;;da79: autoPositive (Fe: da78);;;;;;;;
TRAINS2-fs70;U;S;;and bring them back to Elmira;and;;;;da80: turnKeep;;;;;;
TRAINS2-fs71;U;S;;;bring them back to Elmira;da81: inform;;;;;;;;;
